1,4,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2012-09-19,74
4,5,Le parking est magnifique,2014-01-03,3
6,5,Le parking est magnifique,2014-12-02,18
7,3,Aucun soucis je le conseille,2008-09-16,4
8,4,Fascinant,2010-10-01,25
9,3,Je le conseil vivement pour une famille,2011-09-19,120
10,3,lieu unique,2012-06-13,5
13,4,Nul,2012-09-17,24
14,3,Je le conseil vivement pour une famille,2013-01-04,58
20,3,Surtout n y aller pas !!!,2012-09-24,116
24,3,lieu unique,2007-05-10,31
29,2,a part quelques petits defauts c est un sans faute,2014-08-24,36
30,5,Aucun soucis je le conseille,2008-03-17,15
35,2,On y trouve exactement ceux a quoi l on s attend,2010-03-13,11
38,3,Rien a voir,2012-02-12,6
39,3,On y trouve exactement ceux a quoi l on s attend,2009-06-13,31
42,5,On y trouve exactement ceux a quoi l on s attend,2010-10-01,34
44,1,Je le conseil vivement pour une famille,2013-11-11,120
48,4,Je le conseil vivement pour une famille,2011-06-01,37
50,4,Je le conseil vivement pour une famille,2010-06-17,48
52,1,a part quelques petits defauts c est un sans faute,2007-04-14,118
56,2,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2007-05-10,104
57,5,Aucun soucis je le conseille,2013-05-26,108
60,5,Nul,2010-01-24,25
62,1,Etablissement parfait,2009-11-26,17
66,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2009-05-18,45
68,2,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2007-05-10,62
70,5,Le parking est magnifique,2014-08-24,25
73,3,Aucun soucis je le conseille,2007-05-10,68
71,3,Nul,2013-07-12,68
77,1,lieu unique,2007-02-10,113
80,4,Nul,2007-01-04,107
84,1,Le parking est magnifique,2008-08-20,101
85,4,Le parking est magnifique,2009-02-12,3
89,2,a part quelques petits defauts c est un sans faute,2013-08-04,92
92,1,a part quelques petits defauts c est un sans faute,2011-05-11,110
92,1,Surtout n y aller pas !!!,2009-11-26,73
95,1,Rien a voir,2008-04-24,85
98,3,Decevant,2014-04-27,102
102,0,Surtout n y aller pas !!!,2008-10-07,113
102,5,Aucun soucis je le conseille,2007-02-10,45
103,4,a part quelques petits defauts c est un sans faute,2009-06-13,112
109,2,Nul,2007-01-10,20
113,5,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-10-01,32
114,0,RAS,2011-01-20,98
117,2,Aucun soucis je le conseille,2009-02-16,68
116,5,On y trouve exactement ceux a quoi l on s attend,2012-02-02,117
119,2,Rien a voir,2010-11-14,71


41,1,Nul,2010-11-14,67
52,3,Fascinant,2007-05-10,106
67,3,Nul,2010-07-08,51
2,5,Surtout n y aller pas !!!,2007-07-13,52
45,3,Aucun soucis je le conseille,2014-04-27,66
3,2,Rien a voir,2011-11-24,51
28,0,a part quelques petits defauts c est un sans faute,2011-01-20,68
52,4,Surtout n y aller pas !!!,2008-01-17,54
11,2,RAS,2010-10-01,35
15,4,Etablissement parfait,2012-02-12,40
19,5,On y trouve exactement ceux a quoi l on s attend,2009-02-12,81
98,1,Nul,2010-11-13,14
44,2,Je le conseil vivement pour une famille,2008-11-07,57
93,1,lieu unique,2011-09-19,47
30,5,lieu unique,2008-01-22,44
46,3,Etablissement parfait,2007-05-14,24
57,1,Fascinant,2011-07-15,95
72,5,Le parking est magnifique,2010-01-07,38
114,4,Surtout n y aller pas !!!,2010-11-13,73
116,3,Rien a voir,2008-10-07,119
28,4,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2013-02-25,99
74,0,On y trouve exactement ceux a quoi l on s attend,2013-08-04,2
67,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2009-07-10,93
119,4,RAS,2007-06-07,60
106,4,Etablissement parfait,2010-03-13,96
94,0,Le parking est magnifique,2011-05-11,48
8,4,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2013-05-17,28
81,3,On y trouve exactement ceux a quoi l on s attend,2013-05-26,61
55,1,Fascinant,2011-03-21,9
38,5,Nul,2008-02-10,22
53,1,On y trouve exactement ceux a quoi l on s attend,2014-01-16,113
83,5,RAS,2011-05-15,89
43,2,Rien a voir,2011-11-24,75
58,5,Fascinant,2007-05-10,59
29,4,On y trouve exactement ceux a quoi l on s attend,2011-11-24,69
12,1,Etablissement parfait,2014-04-03,17
18,4,Aucun soucis je le conseille,2007-06-13,14
93,5,RAS,2010-08-12,89
20,3,Nul,2007-02-14,103
49,0,Aucun soucis je le conseille,2007-07-13,37
16,0,Nul,2013-05-06,25
14,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2013-11-15,70
117,0,Le parking est magnifique,2011-05-11,77
80,0,On y trouve exactement ceux a quoi l on s attend,2010-06-17,31
36,4,Nul,2013-05-25,115
83,3,Le parking est magnifique,2007-10-17,115
89,4,Decevant,2008-04-24,53
95,4,Etablissement parfait,2007-11-17,4
108,4,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2012-09-24,12
90,5,Aucun soucis je le conseille,2014-08-24,1
1,4,Fascinant,2010-02-05,72
87,1,RAS,2008-03-17,116
48,1,Surtout n y aller pas !!!,2007-02-10,90
113,1,Rien a voir,2011-05-15,112
99,5,Decevant,2011-01-20,48
74,2,a part quelques petits defauts c est un sans faute,2009-09-14,16
20,3,Je le conseil vivement pour une famille,2007-11-17,33
5,4,On y trouve exactement ceux a quoi l on s attend,2014-12-25,114
111,1,Decevant,2009-07-10,63
106,1,Rien a voir,2010-01-10,40
95,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2013-08-04,16
40,1,Aucun soucis je le conseille,2008-01-22,38
121,1,Fascinant,2010-01-01,72
122,1,RAS,2010-01-02,116
123,1,Surtout n y aller pas !!!,2010-01-03,90
124,1,Rien a voir,2010-01-04,112
125,5,Decevant,2010-01-05,48
126,2,a part quelques petits defauts c est un sans faute,2010-01-06,16
127,3,Je le conseil vivement pour une famille,2010-01-07,33
128,4,On y trouve exactement ceux a quoi l on s attend,2010-01-08,114
129,1,Decevant,2010-01-10,63
130,1,Rien a voir,2010-01-09,40
131,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-01-11,16
132,1,Aucun soucis je le conseille,2010-01-12,38
133,1,Fascinant,2010-02-01,72
134,1,RAS,2010-02-02,116
135,1,Surtout n y aller pas !!!,2010-02-03,90
136,1,Rien a voir,2010-02-04,112
137,5,Decevant,2010-02-05,48
138,2,a part quelques petits defauts c est un sans faute,2010-02-06,16
250,3,Je le conseil vivement pour une famille,2010-02-07,33
138,4,On y trouve exactement ceux a quoi l on s attend,2010-02-08,114
139,1,Decevant,2010-02-10,63
140,1,Rien a voir,2010-02-09,40
141,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-02-11,16
142,1,Aucun soucis je le conseille,2010-02-12,38
143,1,Fascinant,2010-03-01,72
144,1,RAS,2010-03-02,116
145,1,Surtout n y aller pas !!!,2010-03-03,90
146,1,Rien a voir,2010-03-04,112
249,5,Decevant,2010-03-05,48
248,2,a part quelques petits defauts c est un sans faute,2010-03-06,16
147,3,Je le conseil vivement pour une famille,2010-03-07,33
148,4,On y trouve exactement ceux a quoi l on s attend,2010-03-08,114
149,1,Decevant,2010-03-10,63
150,1,Rien a voir,2010-03-09,40
151,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-03-11,16
152,1,Aucun soucis je le conseille,2010-03-12,38
151,1,Fascinant,2010-04-01,72
152,1,RAS,2010-04-02,116
153,1,Surtout n y aller pas !!!,2010-04-03,90
154,1,Rien a voir,2010-04-04,112
155,5,Decevant,2010-04-05,48
156,2,a part quelques petits defauts c est un sans faute,2010-04-06,16
157,3,Je le conseil vivement pour une famille,2010-04-07,33
158,4,On y trouve exactement ceux a quoi l on s attend,2010-04-08,114
159,1,Decevant,2010-04-10,63
160,1,Rien a voir,2010-04-09,40
161,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-04-11,16
162,1,Aucun soucis je le conseille,2010-04-12,38
247,1,Fascinant,2010-05-01,72
162,1,RAS,2010-05-02,116
163,1,Surtout n y aller pas !!!,2010-05-03,90
164,1,Rien a voir,2010-05-04,112
165,5,Decevant,2010-05-05,48
166,2,a part quelques petits defauts c est un sans faute,2010-05-06,16
167,3,Je le conseil vivement pour une famille,2010-05-07,33
168,4,On y trouve exactement ceux a quoi l on s attend,2010-05-08,114
169,1,Decevant,2010-05-10,63
170,1,Rien a voir,2010-05-09,40
171,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-05-11,16
172,1,Aucun soucis, je le conseille,2010-05-12,38
246,1,Fascinant,2010-06-01,72
245,1,RAS,2010-06-02,116
173,1,Surtout n y aller pas !!!,2010-06-03,90
174,1,Rien a voir,2010-06-04,112
175,5,Decevant,2010-06-05,48
176,2,a part quelques petits defauts c est un sans faute,2010-06-06,16
177,3,Je le conseil vivement pour une famille,2010-06-07,33
178,4,On y trouve exactement ceux a quoi l on s attend,2010-06-08,114
179,1,Decevant,2010-06-10,63
180,1,Rien a voir,2010-06-09,40
181,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-06-11,16
182,1,Aucun soucis je le conseille,2010-06-12,38
244,1,Fascinant,2010-07-01,72
243,1,RAS,2010-07-02,116
183,1,Surtout n y aller pas !!!,2010-07-03,90
184,1,Rien a voir,2010-07-04,112
185,5,Decevant,2010-07-05,48
186,2,a part quelques petits defauts c est un sans faute,2010-07-06,16
187,3,Je le conseil vivement pour une famille,2010-07-07,33
188,4,On y trouve exactement ceux a quoi l on s attend,2010-07-08,114
189,1,Decevant,2010-07-10,63
190,1,Rien a voir,2010-07-09,40
191,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-07-11,16
192,1,Aucun soucis je le conseille,2010-07-12,38
242,1,Fascinant,2010-08-01,72
241,1,RAS,2010-08-02,116
193,1,Surtout n y aller pas !!!,2010-08-03,90
194,1,Rien a voir,2010-08-04,112
195,5,Decevant,2010-08-05,48
196,2,a part quelques petits defauts c est un sans faute,2010-08-06,16
197,3,Je le conseil vivement pour une famille,2010-08-07,33
198,4,On y trouve exactement ceux a quoi l on s attend,2010-08-08,114
199,1,Decevant,2010-08-10,63
200,1,Rien a voir,2010-08-09,40
201,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-08-11,16
202,1,Aucun soucis je le conseille,2010-08-12,38
241,1,Fascinant,2010-09-01,72
242,1,RAS,2010-09-02,116
203,1,Surtout n y aller pas !!!,2010-09-03,90
204,1,Rien a voir,2010-09-04,112
205,5,Decevant,2010-09-05,48
206,2,a part quelques petits defauts c est un sans faute,2010-09-06,16
207,3,Je le conseil vivement pour une famille,2010-09-07,33
208,4,On y trouve exactement ceux a quoi l on s attend,2010-09-08,114
209,1,Decevant,2010-09-10,63
210,1,Rien a voir,2010-09-09,40
211,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-09-11,16
212,1,Aucun soucis je le conseille,2010-09-12,38
213,1,Fascinant,2010-10-01,72
241,1,RAS,2010-10-02,116
240,1,Surtout n y aller pas !!!,2010-10-03,90
214,1,Rien a voir,2010-10-04,112
215,5,Decevant,2010-10-05,48
216,2,a part quelques petits defauts c est un sans faute,2010-10-06,16
217,3,Je le conseil vivement pour une famille,2010-10-07,33
218,4,On y trouve exactement ceux a quoi l on s attend,2010-10-08,114
219,1,Decevant,2010-10-10,63
220,1,Rien a voir,2010-10-09,40
221,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-10-11,16
222,1,Aucun soucis je le conseille,2010-10-12,38
239,1,Fascinant,2010-11-01,72
238,1,RAS,2010-11-02,116
223,1,Surtout n y aller pas !!!,2010-11-03,90
224,1,Rien a voir,2010-11-04,112
225,5,Decevant,2010-11-05,48
226,2,a part quelques petits defauts c est un sans faute,2010-11-06,16
227,3,Je le conseil vivement pour une famille,2010-11-07,33
228,4,On y trouve exactement ceux a quoi l on s attend,2010-11-08,114
229,1,Decevant,2010-11-10,63
230,1,Rien a voir,2010-11-09,40
231,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-11-11,16
232,1,Aucun soucis je le conseille,2010-11-12,38
237,1,Fascinant,2010-12-01,72
236,1,RAS,2010-12-02,116
233,1,Surtout n y aller pas !!!,2010-12-03,90
234,1,Rien a voir,2010-12-04,112
235,5,Decevant,2010-12-05,48
251,2,a part quelques petits defauts c est un sans faute,2010-12-06,16
252,3,Je le conseil vivement pour une famille,2010-12-07,33
253,4,On y trouve exactement ceux a quoi l on s attend,2010-12-08,114
254,1,Decevant,2010-12-10,63
255,1,Rien a voir,2010-12-09,40
256,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2010-12-11,16
257,1,Aucun soucis je le conseille,2010-12-12,38
258,1,Fascinant,2011-01-01,72
259,1,RAS,2011-01-02,116
260,1,Surtout n y aller pas !!!,2011-01-03,90
261,1,Rien a voir,2011-01-04,112
262,5,Decevant,2011-01-05,48
263,2,a part quelques petits defauts c est un sans faute,2011-01-06,16
264,3,Je le conseil vivement pour une famille,2011-01-07,33
265,4,On y trouve exactement ceux a quoi l on s attend,2011-01-08,114
266,1,Decevant,2011-01-10,63
267,1,Rien a voir,2011-01-09,40
268,3,Que ce soit le personnel ou les prestations rien n était au rendez-vous,2011-01-11,16
269,1,Aucun soucis je le conseille,2011-01-12,38
