1,standard,48
2,argent,52
3,argent,89
4,bronze,118
5,bronze,86
6,or,93
7,argent,93
8,argent,96
8,argent,13
8,argent,12
8,argent,15
9,or,66
11,standard,14
11,standard,52
11,standard,89
11,standard,9
12,bronze,11
13,bronze,32
14,bronze,27
15,standard,49
11,bronze,14
18,bronze,49
19,or,31
20,or,1
21,standard,58
22,bronze,9
23,or,86
24,bronze,67
25,or,59
26,standard,15
27,argent,96
28,argent,80
29,argent,114
30,argent,48
31,argent,87
32,or,65
33,standard,79
34,standard,3
35,argent,35
36,standard,109
37,argent,59
38,bronze,57
39,or,41
40,standard,83
41,bronze,88
42,or,67
45,or,84
46,argent,76
7,argent,8
48,bronze,19
49,or,68
50,or,105
52,bronze,43
53,bronze,97
54,or,48
55,or,16
33,bronze,34
57,standard,115
60,or,79
61,argent,36
62,argent,73
63,bronze,65
64,bronze,50
65,standard,107
66,standard,41
68,bronze,41
69,bronze,110
118,bronze,4
106,or,7
103,argent,10
70,or,103
25,or,121
25,or,122
25,or,123
25,or,124
25,or,125
25,or,126
25,or,127
25,or,128
25,or,129
25,or,130
25,or,131
25,or,132
25,or,133
25,or,134
25,or,135
25,or,136
25,or,137
25,or,138
25,or,139
25,or,140
25,or,141
25,or,142
25,or,143
25,or,144
25,or,145
25,or,146
25,or,147
25,or,148
25,or,149
25,or,150
25,or,151
25,or,152
25,or,153
25,or,154
25,or,155
25,or,156
25,or,157
25,or,158
25,or,159
25,or,160
25,or,161
25,or,162
25,or,163
25,or,164
25,or,165
25,or,166
25,or,167
25,or,168
25,or,169
25,or,170
25,or,171
25,or,172
25,or,173
25,or,174
25,or,175
25,or,176
25,or,177
25,or,178
25,or,179
25,or,180
25,or,181
25,or,182
25,or,183
25,or,184
25,or,185
25,or,186
25,or,187
25,or,188
25,or,189
25,or,190
25,or,191
25,or,192
25,or,193
25,or,194
25,or,195
25,or,196
25,or,197
25,or,198
25,or,199
25,or,200
25,or,201
25,or,202
25,or,203
25,or,204
25,or,205
25,or,206
25,or,207
25,or,208
25,or,209
25,or,210
25,or,211
25,or,212
25,or,213
25,or,214
25,or,215
25,or,216
25,or,220
25,or,221
25,or,222
25,or,223
25,or,224
25,or,225
25,or,217
25,or,218
25,or,219
25,or,227
25,or,228
25,or,226
25,or,229
25,or,230
25,or,231
25,or,232
25,or,233
25,or,234
25,or,235
25,or,236
25,or,237
25,or,238
25,or,240
25,or,241
25,or,242
25,or,243
25,or,244
25,or,239
25,or,245
25,or,246
25,or,247
25,or,249
25,or,250
25,or,251
25,or,252
25,or,253
25,or,254
25,or,255
25,or,256
25,or,257
25,or,248
25,or,258
25,or,259
25,or,260
25,or,261
25,or,262
25,or,263
25,or,264
25,or,265
25,or,266
25,or,267
25,or,268
25,or,269



