2,6,113
3,82,90
2,110,47
2,25,63
4,101,113
5,37,56
5,120,84
3,115,36
3,45,41
5,51,119
2,91,107
5,104,27
1,67,20
3,79,103
2,111,95
5,44,102
4,93,26
2,40,61
5,32,52
5,83,49
1,71,111
2,60,51
3,1,101
4,41,62
3,40,82
2,111,103
1,21,25
4,84,82
3,73,33
2,101,120
1,94,43
3,21,114
5,33,73
5,6,30
3,16,75
3,20,42
5,120,98
5,43,11
1,57,58
4,98,63
2,4,57
1,53,83
5,33,58
2,94,96
5,107,110
1,89,15
5,12,61
4,84,31
2,99,54
5,19,7
5,104,92
5,113,12
5,106,65
5,36,44
1,46,69
1,64,64
3,6,29
2,14,103
1,101,76
1,47,100
4,87,57
3,7,50
2,77,22
4,53,92
3,118,36
2,20,57
5,35,49
1,86,95
2,84,72
5,114,34
4,89,42
3,2,85
2,59,64
5,44,12
1,33,63
1,56,11
2,58,62
2,108,30
2,77,92
3,22,20
4,105,73
4,41,82
3,55,106
4,95,91
3,86,88
2,90,7
5,12,18
4,118,28
5,3,55
2,110,71
2,56,115
4,107,110
2,76,6
3,60,34
3,83,73
5,66,40
4,48,66
2,58,99
3,1,76
4,89,12
1,47,14
1,19,79
1,11,114
5,119,79
3,82,15
1,85,108
3,9,86
1,100,33
5,116,4
4,33,106
5,41,111
4,1,98
1,116,50
3,55,107
1,94,44
2,107,76
2,93,71
3,111,37
5,64,10
5,29,97
