71,argent,19,69
71,argent,4,71
72,argent,54,14
73,argent,28,51
73,argent,45,51
73,argent,44,14
74,argent,61,64
75,standard,66,50
75,standard,18,4
75,standard,15,3
75,standard,21,2
75,standard,23,1
76,or,28,117
77,or,82,60
78,standard,113,12
79,standard,104,44
80,standard,7,80
81,argent,27,108
82,standard,96,89
83,or,49,82
84,standard,24,23
85,argent,8,37
86,argent,3,12
88,bronze,12,23
89,argent,98,112
90,bronze,5,43
91,bronze,6,88
92,bronze,89,115
93,argent,101,89
94,argent,83,59
97,bronze,119,14
98,or,10,21
100,standard,11,94
101,bronze,2,74
95,standard,56,1
95,standard,20,5
96,bronze,29,2
96,bronze,36,6
99,argent,1,3
99,argent,23,7
102,or,9,4
102,or,39,8
102,or,33,9
